hour_of_day,avg_lsi,critical_events,avg_volatility
11,0.3415463512899416,35,0.0006769134854709769
12,0.3211379124563185,38,0.0007476187740867
13,0.3278990306229496,4,0.0006736110798971673
14,0.33521464497669584,8,0.0006729012840089412
15,0.3181235431796821,1,0.0006323419679353508
16,0.3326107386694743,2,0.0006599775098838935
17,0.3419820424795923,2,0.0005877311244516229
18,0.33333274765151655,6,0.0006027378257490993
19,0.35458534049359003,3,0.0006155188484902709
20,0.3784898555370131,8,0.0005123299209824389
21,0.4232327079685453,9,0.00043312102630088607
22,0.3429396747988912,5,0.0005007653119079435
23,0.3567904174638646,4,0.0004898591217968525
0,0.3353038385024443,2,0.0006933924877770452
1,0.3271407578694481,2,0.0005378505598376641
2,0.3365829857667515,3,0.0005379171648885202
3,0.38566903375215184,3,0.000997975858649028
4,0.3778561173527741,9,0.0008318972453808035
5,0.35335765297492333,37,0.0006373192608714964
6,0.3450349202308718,4,0.0007007684609485504
7,0.363902881629951,7,0.0005814183709312822
8,0.3598639911302386,21,0.0007212095675582792
9,0.3110267206668644,2,0.0007898379291395094
10,0.3295691419430129,2,0.0006538139970660742
