system_time,day,hour_of_day,midpoint,spread,LSI,stress_level,stress_regime,abs_return
"2021-04-07 11:33:41",2021-04-07,11,55896.285,0.01,NULL,2,Critical,NULL
"2021-04-07 11:34:41",2021-04-07,11,55948.685,1.43,NULL,2,Critical,0.0009374504942500916
"2021-04-07 11:35:41",2021-04-07,11,56013.785,0.01,NULL,2,Critical,0.0011635662214404263
"2021-04-07 11:36:41",2021-04-07,11,55903.575,7.17,NULL,2,Critical,0.001967551380432586
"2021-04-07 11:37:41",2021-04-07,11,55899.995,0.01,NULL,2,Critical,0.00006403883830319312
"2021-04-07 11:38:41",2021-04-07,11,56100.175,0.37,NULL,2,Critical,0.0035810378873915027
"2021-04-07 11:39:41",2021-04-07,11,56098.205,3.59,NULL,2,Critical,0.00003511575498649222
"2021-04-07 11:40:41",2021-04-07,11,56113.395,0.01,NULL,2,Critical,0.0002707751522530444
"2021-04-07 11:41:41",2021-04-07,11,56191.33,9.86,NULL,2,Critical,0.0013888840623528242
"2021-04-07 11:42:41",2021-04-07,11,56111.655,0.01,NULL,2,Critical,0.001417923370028884
"2021-04-07 11:43:41",2021-04-07,11,56147.43,3.7,NULL,2,Critical,0.000637568077434203
"2021-04-07 11:44:41",2021-04-07,11,55984.445,4.59,NULL,2,Critical,0.002902804277951865
"2021-04-07 11:45:41",2021-04-07,11,55868.55,17.22,NULL,2,Critical,0.0020701285866100427
"2021-04-07 11:46:41",2021-04-07,11,56068.215,0.01,NULL,2,Critical,0.0035738353689149793
"2021-04-07 11:47:41",2021-04-07,11,56100.015,0.01,NULL,2,Critical,0.0005671662634525454
"2021-04-07 11:48:41",2021-04-07,11,55952.485,0.01,NULL,2,Critical,0.0026297675677983134
"2021-04-07 11:49:41",2021-04-07,11,56099.595,0.01,NULL,2,Critical,0.0026291951108159406
"2021-04-07 11:50:41",2021-04-07,11,56091.94,6.66,NULL,2,Critical,0.00013645374801718457
"2021-04-07 11:51:41",2021-04-07,11,56144.475000000006,0.01,NULL,2,Critical,0.0009365873243107892
"2021-04-07 11:52:41",2021-04-07,11,56163.445,5.65,NULL,2,Critical,0.00033787830414300224
"2021-04-07 11:53:41",2021-04-07,11,56161.775,10.09,NULL,2,Critical,0.00002973464323630104
"2021-04-07 11:54:41",2021-04-07,11,56190.945,12.75,NULL,2,Critical,0.0005193924159270225
"2021-04-07 11:55:41",2021-04-07,11,56229.985,0.01,NULL,2,Critical,0.00069477386436545
"2021-04-07 11:56:41",2021-04-07,11,56201.9,1.4,NULL,2,Critical,0.0004994666102080547
"2021-04-07 11:57:41",2021-04-07,11,56229.995,0.01,NULL,2,Critical,0.0004998941316931571
"2021-04-07 11:58:41",2021-04-07,11,56221.115000000005,0.01,NULL,2,Critical,0.00015792283104409943
"2021-04-07 11:59:41",2021-04-07,11,56296.92,8.56,NULL,2,Critical,0.0013483368303881527
"2021-04-07 12:00:41",2021-04-07,12,56191.325,4.99,NULL,2,Critical,0.0018756798773361671
"2021-04-07 12:01:41",2021-04-07,12,56166.375,2.31,NULL,2,Critical,0.0004440187164120868
"2021-04-07 12:02:41",2021-04-07,12,56119.455,0.01,NULL,2,Critical,0.0008353752578833529
"2021-04-07 12:03:41",2021-04-07,12,56099.995,0.01,NULL,2,Critical,0.00034676031689895304
"2021-04-07 12:04:41",2021-04-07,12,56097.685,0.01,NULL,2,Critical,0.00004117647425827542
"2021-04-07 12:05:41",2021-04-07,12,56091.335,0.01,NULL,2,Critical,0.00011319540191356836
"2021-04-07 12:06:41",2021-04-07,12,56004.130000000005,7.54,NULL,2,Critical,0.0015546964606920621
"2021-04-07 12:07:41",2021-04-07,12,56038.495,0.09,NULL,2,Critical,0.0006136154601454891
"2021-04-07 12:08:41",2021-04-07,12,56085.875,0.01,NULL,2,Critical,0.0008454902295287336
